,Text
158,"RT @HillaryforPA: From good-paying jobs to college debt relief, @HillaryClinton has a plan to lift up Millennials. sFecOA"
159,"RT @VABVOX: I've gotten several emails from @HillaryClinton's campaign requesting help for #LouisianaFlood. 
No fundraising for her. Just L"
160,RT @nycjim: .@johnastoehr is up to No. 87 in his epic @HillaryClinton #doublestandard #sexism tweetstorm. Hoping he hits 100. 
161,"RT @billclinton: As @HillaryClinton mentioned just now, I'm proud to be wearing a shirt made right here in Pennsylvania! sw3J"
162,"RT @Harlan: In @HillaryClinton's America, the system stays rigged.

Great new @realDonaldTrump ad: "
163,"@HillaryClinton happy birthday Billy, this is in you! "
164,If you're considering not supporitng @HillaryClinton make sure you're educated on Trump's ties to Putin first 
165,"@jaymeswinn @ReutersPolitics Sworn oral statement is @HillaryClinton's enemy. She cannot stop lying, judge knew that."
166,"RT @VABVOX: I've gotten several emails from @HillaryClinton's campaign requesting help for #LouisianaFlood. 
No fundraising for her. Just L"
167,"RT @VABVOX: I've gotten several emails from @HillaryClinton's campaign requesting help for #LouisianaFlood. 
No fundraising for her. Just L"
168,"I'm proud to be on Team @HillaryClinton. You should join, too! hiJl8KRW"
169,Which is true. The negro is at the bottom of Hillary's agenda. @TeddyDavisCNN @jmartNYT @HillaryClinton
170,"RT @TheJuanGShow: @FoxNews @realDonaldTrump @HillaryClinton 
So what are you going to do about it, Donny? Your one-liners don't solve a sin"
171,"RT @morabitolee6: #BlameColinPowell @HillaryClinton well this certainly backfired on you HRC!!!!
thank you for more votes for TRUMP.. https"
172,RT @JeffAronson25: Colin Powell told @HillaryClinton that Russian reset was a good idea.  #BlameColinPowell
173,"I'm really upset that @HillaryClinton isn't in Louisiana exploiting a tragedy for photo ops and votes like @realDonaldTrump. 
#NotReally"
174,"Judge orders @HillaryClinton to answer questions from @JudicialWatch in email probe lawsuit
KUDOS JW
#NeverHillary"
175,RT @NRA: #ICYMI: @HillaryClintontrails #NRA in approval ratings by more than 10 points. Freedom has that effect... 
176,@HillaryClinton Weren't you disbarred for integrity issues?
177,Will @HillaryClinton be healthy enough to face @realDonaldTrump in the presidential debates? #illary #HillaryHealth 
178,"RT @VABVOX: I've gotten several emails from @HillaryClinton's campaign requesting help for #LouisianaFlood. 
No fundraising for her. Just L"
179,@pleaseriseup816 @mcuban @HillaryClinton No your mother was always very kind and giving of herself. She was truly affectionate &amp; fulfilling
180,@stabenow @HillaryClinton We need her like a Diabetic needs a 3 Layer Cake 
181,".@HillaryClinton: ""@HillaryClinton is the defender of the status quo."" "
182,RT @LulusParty: @TheGOPReport @HillaryClinton Why would ANYONE trust that any funds would get there if the funds were managed by ANY of her
183,"RT @FoxNews: .@HillaryClinton: ""@HillaryClinton is the defender of the status quo."" "
184,@HillaryClinton Trump only thing left for u now is pray to God so that he injects little intelligence into u so u don't screw up.
185,"RT @FoxNews: .@HillaryClinton: ""@HillaryClinton is the defender of the status quo."" "
186,@FoxNews @HillaryClinton just ordered this amazing shirt to support Trump '16 Campaign!  few hours left!
187,RT @Nvr4Get91101: .@HillaryClinton cares about Hillary Clinton. That is all.  
188,"RT @FoxNews: .@HillaryClinton: ""@HillaryClinton is the defender of the status quo."" "
189,Well done! #NeverHillary #Trump #Trump2016 #TrumpPence16 
190,"@kendrasback @FoxNews @realDonaldTrump @HillaryClinton The current hope did fantastic job. Black poverty, wealth, income,employment all wors"
191,"RT @FoxNews: .@HillaryClinton: ""@HillaryClinton is the defender of the status quo."" "
192,"RT @LindaSuhler: Hillary trying to play 'catch up to Trump' on law enforcement.
Cops know who has their backs--it ain't her.
#Trump16 https"
193,Remember when they use to say @HillaryClinton shouted all the time? Well turn into @CNN and tell me @realDonaldTrump is not yelling. U can't
194,"@easilytriggered @DJD @HillaryClinton your next tweet better be based on fact. otherwise, you can stop now."
195,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:"
196,"RT @StephenMoore: .@HillaryClinton wants to make college tuition free for the middle class, double-down on Obamacare, and raise cap gains"
197,"RT @FoxNews: .@HillaryClinton: ""@HillaryClinton is the defender of the status quo."" "
198,"RT @FoxNews: .@HillaryClinton: ""@HillaryClinton is the defender of the status quo."" "
199,"@HillaryClinton If Hillary Wins: Bill to Exit Foundation, If she loses, nobody will donate anyway. So, Who cares!  tlo"
200,"RT @Hillary2016Pres: ""Every child deserves the chance to live up to his or her God-given potential."" @HillaryClinton #GOPdebate "
201,"RT @LindaSuhler: But, it was FINE when Hillary Clinton was Sec of State.
Right.
Selling out America.
#PayToPlay #CrookedHillary "
202,"RT @FoxNews: .@HillaryClinton: ""@HillaryClinton is the defender of the status quo."" "
203,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:"
204,RT @AmyMek: Hillary says she would most like to emulate Merkel if elected President. Germany is UNDER SIEGE by Muslim Invaders! 
205,@FoxNews @realDonaldTrump @HillaryClinton trump's more popular than Hillary Clinton anyway
206,"RT @Bikers4Trump: Colin Powell Needs to Strongly Disavow the actions of @HillaryClinton &amp; endorse @realDonaldTrump!
#RETWEET
Join us @ http"
207,or maybe @HillaryClinton will give me a free much needed surgery since she's all about giving things away.
208,RT @petatusa: #WheresHillary @HillaryClinton is busy figuring out how to tell #ColinPowell his 'memory is faulty' like #Benghazi .
209,"RT @Harlan: In @HillaryClinton's America, the system stays rigged.

Great new @realDonaldTrump ad: "
210,RT @nycjim: .@johnastoehr is up to No. 87 in his epic @HillaryClinton #doublestandard #sexism tweetstorm. Hoping he hits 100. 
211,Let's see @realDonaldTrump &amp; @HillaryClinton walk up/down a  without the use of a railing for support. #SimpleTest
212,RT @JoseTiberra: .@HillaryClinton U R last person to talk abt Natl Security. #EmailGate #Benghazi #HillaryForPrison #LiberalHypocrisy https
213,RT @JoseTiberra: .@HillaryClinton U R last person to talk abt Natl Security. #EmailGate #Benghazi #HillaryForPrison #LiberalHypocrisy https
214,".@HillaryClinton &lt;- ""advising"" is a quality you lack. Your masters tells you what to do. You are not independant. You're a liar
@pytinhyilo"
215,"@GTHTonWinfield Hillary @HillaryClinton wants a TRUMP troll (LOL!) Heck, I want one too~ sooo funny"
216,@FoxNews @realDonaldTrump @HillaryClinton I guess Trumps presidential moment is over. Like he ever had one.
217,RT @AmyMek: Hillary says she would most like to emulate Merkel if elected President. Germany is UNDER SIEGE by Muslim Invaders! 
218,"@HillaryClinton

We know all ABOUT who's dealing with the Russians, mad. secretary.

Dear GOD, please #TrumpPence  "
219,All @HillaryClinton supporters. 
220,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:"
221,"RT @Southern1337: @HillaryClinton is being told by her top advisors ""Girl you better start tweeting like you know whats going on. "
222,.@mike_pence opposed efforts to help LGBTQ people in danger abroad. @HillaryClinton worked to save their lives. 
223,@FoxNews @HillaryClinton Truth being spoken..
224,RT @NRA: #ICYMI: @HillaryClintontrails #NRA in approval ratings by more than 10 points. Freedom has that effect... 
225,Has @POTUS and team -- including @HillaryClinton -- meaningfully improved life for those in the inner cities?? NOPE hVXAKG
226,@AndraDayMusic @HillaryClinton My inspiration is my God. I cannot or will I worship idols including ur sexist Hillary. Rethink your priority
227,@oreillyfactor  Let's see @realDonaldTrump &amp; @HillaryClinton walk up/down a  without the use of a railing for support. #SimpleTest
228,@realDonaldTrump Trump's plan is the only one that works when it comes to increased wages. @HillaryClinton plan will increase our taxes FACT
229,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:"
230,RT @matthewsdolan: .@realDonaldTrump going hard against @HillaryClinton on who would best represent interests of African Americans. @freep
231,@KathleenAFranck PCalith @Wayke66 @mitchellreports @NYT @HillaryClinton .come on Andrea you can do better than that!
232,@TheGOPReport @HillaryClinton it was a good tweet for a sleepy person though.
233,RT @hale_razor: Hi @HillaryClinton How much money has your Clinton Foundation donated to Louisiana flood relief? I hear it's a charity.
234,".@realDonaldTrump: @hillaryClinton views people of color ""only as votes, not as human beings worthy of a better future."""
235,@HillaryClinton no real $ off shore for sure
236,RT @AmyMek: Hillary says she would most like to emulate Merkel if elected President. Germany is UNDER SIEGE by Muslim Invaders! 
237,@FoxNews @realDonaldTrump @HillaryClinton Wow! Quite a speech.  Hillary will need another 100 million from Wall Street for Ads.
238,@HillaryClinton Can Go Straight To Levenworth Solitary Confinement Where She Belongs. @billclinton Next Door 
239,RT @ChadHGriffin: .@mike_pence opposed efforts to help LGBTQ people in danger abroad. @HillaryClinton worked to save their lives. 
240,"RT @AJSKirk: @Freedom4All1777 @HillaryClinton @realDonaldTrump Yeah,  Hillary and Obama thought cops should be out helping,  not doing phot"
241,RT @AmyMek: Hillary says she would most like to emulate Merkel if elected President. Germany is UNDER SIEGE by Muslim Invaders! 
242,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:"
243,RT @petatusa: #WheresHillary @HillaryClinton is busy figuring out how to tell #ColinPowell his 'memory is faulty' like #Benghazi .
244,"When @HillaryClinton supporters start committing hate crimes in record numbers I will be convinced that she is a bigot.
@realDonaldTrump"
245,"@BarackObama @HillaryClinton TRUMP Visits Louisiana, Hillary Goz 2Bill's Bday Party! Hillary sez, ""Let em eat cake!"" hIESHpoHC"
246,RT @NYers4HRC: I just got an email from @HillaryClinton campaign asking me to donate for Louisiana relief funds. Nice to see the care and c
247,"@FoxNews @HillaryClinton 14 months later he can't stop saying, African-Americans.TO LITTLE TO LATE"
248,RT @AmyMek: Hillary says she would most like to emulate Merkel if elected President. Germany is UNDER SIEGE by Muslim Invaders! 
249,RT @Georgia4Bernie: .@HillaryClinton vows to not take foreign donations at #ClintonFoundation if she becomes prez. Same thing promised befo
250,@JebBush The best republican politician running for POTUS is @HillaryClinton. Give her your endorsement!
