,Text
185,"RT @bfraser747:  ATTENTION 

This man George Soros is the face of our enenemy. He backs @HillaryClinton &amp; funds horrific things. https:/"
186,@TeddyDavisCNN @jmartNYT @HillaryClinton He is such a liar how can any smart person believe him
187,"RT @pastormarkburns: Yes @HillaryClinton, let's start blaming Colin Powell for YOU using a private email server. Good job Hillary... #HesWi"
188,"@HillaryClinton @billclinton Rats! Website didn't like my Canadian postal code. Well, Happy Birthday regardless!"
189,RT @mylittlepwnies3: Hillary backs up the Saudis and they are bombing the fuck out of civilians in Yemen skoQuyPqq8
190,"RT @bfraser747:  ATTENTION 

This man George Soros is the face of our enenemy. He backs @HillaryClinton &amp; funds horrific things. https:/"
191,They already figured a get around. That's why they're saying this now. 
192,BWAHAHAHAHAHA desparate much @HillaryClinton YOU HAVE TO DONATE to sign so I'll just say it here FU YOU PERVERT 
193,.@HillaryClinton calls Louisiana flood victims after an 16 hour nap and catheter change 
194,@FoxNews @TheUndine3 @HillaryClinton @ClintonFdn I wish no ill concerning THE CLINTON'S HOWEVER I HAVE 2 WORDS WORDS. ..RETIRE NOW!
195,"RT @PsychicDogTalk3: WHO WILL YOU #VOTE FOR?

#Election2016 #MichaelCohen #UFC202 #MercyAtMidnight #polls @HillaryClinton #DonaldTrump"
196,"All black people need to   do is refer to Buffalo soldiers and how that worked out.. @HillaryClinton @realDonaldTrump"""
197,RT @gene70: @HillaryClinton Hillary has no foreign policy at all. She's lost
198,RT @OurTroubledTime: Her compassion is a farce. Pretty sure shes a reptilian lol  hIrav
199,RT @Bikers4Trump: @HillaryClinton @billclinton you are both disgusting Traitors! Good Luck in Prison! 
200,@PaulaRuiz1236 @ReutersPolitics @HillaryClinton Allowing her legal counsel on the responses to ?'s is not special treatment. It's a right.
201,"@RhonUSA Illegal like this one you say @keprdad @HillaryClinton @MicahGrimes 
sj2hQkV"
202,"RT @PsychicDogTalk3: Go home

#ISIS #MarkFoley #Orlando #gunFreeZone #Pulse #BernieOrBust #2a #guns #gunSense #Trump2016

@HillaryClinton h"
203,"RT @YesBiscuit: Do we put this one in the ""sarcastic"" column or the ""possible unspecified comments I regret"" column? "
204,@FoxNews @realDonaldTrump @HillaryClinton merkel should b hanging from a light post in Berlin  Betrayed Germany a true clueless traitor 
205,"@israeli101 @Reuters @HillaryClinton @realDonaldTrump ALLTHE POLLS
pCPYpX1"
206,"This is @hillaryclinton's fault. Don't try to shift blame.

Go back to promoting Sharia law and killing gay people. "
207,"Blacks helped whites kill native Americans while whiles convinced native Americans to Enslave Blacks @realDonaldTrump @HillaryClinton"""
208,@trumpslump @SpeakerRyan There's only one anti-American bigot and thats @HillaryClinton #MAGA means no pandering for votes &amp; killing enemies
209,"RT @jlopezandfamily: Make this go viral, @HillaryClinton will finish destroying America! "
210,"RT @marsialynn86: @seanhannity @HillaryClinton 
who does she immediately blame for her issues??? yep SHE BLAMES A BLACK MAN y'all...there's"
211,@marsialynn86 @seanhannity @HillaryClinton More made up conspiracy theories that are trying to take attention off of @realDonaldTrump #taxes
212,We @SenateMajLdr @SpeakerRyan @GOP @clairecmc @HillaryClinton @NancyPelosi @SenWarren @SenFeinstein @SenatorReid @timkaine Fuck you daily!
213,"RT @scrowder: We get it, @HillaryClinton. Colin Powell is just the latest in the blame game. t"
214,RT @TrumpStudents: New endorsement for .@HillaryClinton 
215,"RT @dkpete01: @HillaryClinton @billclinton 
Dear, Bill
Hope your weapons grade syphilis doesn't make it your last. Happy B-day. "
216,@CNNSitRoom @HillaryClinton @CNNPolitics why not ask where the thrump ball caps are made
217,@cnn Will @realdonaldtrump punish Trump manufacturing companies in China/Mexico/India? Or will he exempt himself? @HillaryClinton
218,@Catherine_LCP @HillaryClinton stop harassing me. hillary will be president and she is a WOMAN. you are a spammer
219,"Moral of the story :  Natives American had Genocide committed on them and blacks remained in. Slavery for over a Century @HillaryClinton"""
220,How is @HillaryClinton getting such high poll numbers with such a low trust rating? Rigged? Or are people really that stupid...
221,Can't believe people buy into this clown's bullshit ... He and Pence will destroy the middle-class 
222,"RT @OpenTheDebates: One person's ""viable"" is another's #unelectablebigot despite billions in free media. 
#LetJillDebate #LetGaryDebate htt"
223,"@CNNPolitics : Shouldn't FBI be investigating Clinton Fiundation and @HillaryClinton for Email Scandal, Bengazhi and Pay to Play Corruption."
224,"RT @bfraser747:  GEORGE SOROS

This is an EVIL man. He funds BLM &amp; @HillaryClinton . They don't want to #MakeAmericaGreatAgain  https:/"
225,@BreitbartNews @LindaSuhler is there nothing she won't say? Back peddles and trying to blame someone else. @HillaryClinton  go into hiding
226,"@HillaryClinton Your lies have bypassed legendary and narcissistic, en route to psychotic. t2vNoUeyS"
227,"@FoxNews @HillaryClinton @ClintonFdn Yeah, right..."
228,"RT @pastormarkburns: Yes @HillaryClinton, let's start blaming Colin Powell for YOU using a private email server. Good job Hillary... #HesWi"
229,@HillaryClinton Yea you love that cheating fuck don't you .Cheating &amp; lying are you that you 2 do . You both are going to hell
230,This is typical of the Clinton's they have both wanted to be president since college...not for us but for power &amp; $ 
231,RT @scentslovingmom: This needs to be retweeted far and wide. Americans first.  
232,RT @WDFx2EU5: .@HillaryClinton calls Louisiana flood victims after an 16 hour nap and catheter change 
233,RT @Bishopgregdavis: Why is @realDonaldTrump talking about Detroit and he's in Dimondale Michigan no where near Detroit! Shame on you sir!
234,"@HillaryClinton does not support TPP, Get your head out of your backside @realDonaldTrump"
235,@_Augustus_1 @ExposeHillary @HillaryClinton wrong DISGUSTUS!  He's there cuz he really cares... you moron!
236,RT @sweetliltweet: It's BAD when @Ted_Strickland wants to help @HillaryClinton kill #SteelWork jobs in #Ohio. Share. 
237,"RT @scrowder: We get it, @HillaryClinton. Colin Powell is just the latest in the blame game. t"
238,"@HillaryClinton You have the nerve to say Trump is dangerous LOL, look what you did for a $1000,000 donation to CF. "
239,Clinton ties to Russia!  
240,"@HillaryClinton ,I hope this is the start of her end.So sick of the protection she is getting from @POTUS. "
241,@HillaryClinton didn't support #CAFTA. Hillary talked up TPP because her boss said so. She wasn't speaking for herself as SoS. #DonTheCon
242,I'm an American! Don't fuck with me! Those emails contain info about American deaths/monies rec'd &amp; given to enemies 
243,RT @ZP203: People care more about @RyanLochte lying about an altercation than they do @HillaryClinton lying about sending classified materi
244,@Gene_Starwind @HillaryClinton @thinkprogress But he needs to lead by example and if he refuses while others are open it raises questions.
245,@mayaharris_ @HillaryClinton BS...man are you people stupid for believing her.
246,"@HillaryClinton @HFA @elizabethforma @timkaine 
THIS is the FACE of EVIL!
Profiting on the health woes of Americans
"
247,Donald Trump visits Baton Rouge and Ascension Parish  via @WGNOtv NO @POTUS NO @HillaryClinton
248,"RT @kristilade: You know when the @washingtonpost goes after you, the jig is up @HillaryClinton "
249,@FoxNews @HillaryClinton racist traitor
